Id,Predicted
0,1
1,0
2,0
3,0
4,1
5,0
6,1
7,0
8,0
9,0
10,0
11,0
12,1
13,1
14,1
15,1
16,0
17,1
18,0
19,1
20,0
21,1
22,0
23,1
24,0
25,1
26,0
27,0
28,1
29,0
30,1
31,1
32,0
33,0
34,0
35,0
36,1
37,1
38,1
39,0
40,1
41,1
42,0
43,1
44,0
45,0
46,1
47,1
48,0
49,1
50,0
51,1
52,1
53,0
54,1
55,1
56,0
57,1
58,0
59,1
60,1
61,1
62,1
63,1
64,1
65,0
66,0
67,0
68,1
69,0
70,0
71,0
72,1
73,1
74,1
75,1
76,1
77,1
78,0
79,0
80,0
81,1
82,1
83,1
84,0
85,0
86,0
87,0
88,1
89,1
90,1
91,0
92,1
93,0
94,0
95,0
96,0
97,0
98,0
99,1
100,0
101,1
102,0
103,0
104,0
105,0
106,0
107,1
108,1
109,0
110,0
111,1
112,1
113,1
114,0
115,0
116,0
117,1
118,0
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,0
127,1
128,1
129,1
130,0
131,0
132,1
133,1
134,1
135,0
136,1
137,0
138,0
139,1
140,1
141,1
142,0
143,1
144,1
145,1
146,0
147,1
148,1
149,1
150,1
151,1
152,0
153,1
154,1
155,1
156,1
157,0
158,0
159,1
160,0
161,1
162,1
163,1
164,1
165,1
166,1
167,0
168,0
169,0
170,0
171,1
172,0
173,1
174,0
175,1
176,0
177,1
178,1
179,1
180,0
181,0
182,1
183,1
184,0
185,0
186,1
187,0
188,1
189,1
190,0
191,0
192,0
193,1
194,0
195,0
196,0
197,0
198,0
199,1
200,1
201,0
202,1
203,0
204,1
205,1
206,1
207,0
208,0
209,0
210,1
211,1
212,0
213,1
214,0
215,1
216,0
217,1
218,0
219,0
220,0
221,1
222,0
223,1
224,0
225,0
226,0
227,1
228,0
229,0
230,1
231,0
232,0
233,1
234,1
235,1
236,1
237,0
238,0
239,1
240,1
241,1
242,1
243,0
244,0
245,1
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,1
254,1
255,0
256,1
257,1
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,1
266,0
267,1
268,1
269,0
270,1
271,1
272,1
273,1
274,0
275,1
276,0
277,1
278,0
279,1
280,0
281,1
282,1
283,1
284,0
285,1
286,1
287,1
288,0
289,1
290,1
291,1
292,0
293,1
294,1
295,0
296,1
297,0
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,0
306,0
307,1
308,0
309,1
310,1
311,1
312,1
313,0
314,0
315,0
316,1
317,0
318,1
319,1
320,1
321,1
322,1
323,0
324,1
325,1
326,0
327,1
328,0
329,0
330,1
331,1
332,1
333,0
334,1
335,0
336,0
337,0
338,1
339,0
340,0
341,1
342,0
343,0
344,0
345,1
346,1
347,1
348,0
349,0
350,1
351,0
352,1
353,1
354,1
355,0
356,0
357,1
358,0
359,0
360,1
361,1
362,1
363,0
364,0
365,0
366,1
367,0
368,1
369,1
370,0
371,0
372,1
373,1
374,1
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,1
385,0
386,0
387,1
388,1
389,0
390,0
391,0
392,0
393,1
394,0
395,1
396,1
397,1
398,0
399,1
400,0
401,1
402,0
403,0
404,1
405,0
406,0
407,1
408,1
409,1
410,1
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,1
421,0
422,0
423,0
424,1
425,0
426,0
427,1
428,1
429,1
430,0
431,1
432,0
433,0
434,0
435,1
436,0
437,1
438,1
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,1
447,0
448,0
449,1
450,1
451,1
452,1
453,1
454,0
455,0
456,0
457,0
458,1
459,1
460,0
461,1
462,0
463,0
464,0
465,1
466,0
467,1
468,0
469,0
470,1
471,0
472,0
473,0
474,0
475,1
476,1
477,0
478,0
479,1
480,0
481,0
482,0
483,1
484,1
485,1
486,0
487,1
488,1
489,0
490,1
491,1
492,0
493,0
494,0
495,0
496,0
497,0
498,1
499,1
500,0
501,0
502,1
503,0
504,0
505,0
506,0
507,1
508,1
509,0
510,1
511,1
512,0
513,1
514,1
515,0
516,1
517,0
518,0
519,1
520,1
521,1
522,1
523,0
524,0
525,0
526,0
527,1
528,0
529,1
530,1
531,1
532,0
533,0
534,0
535,0
536,1
537,1
538,0
539,0
540,1
541,1
542,0
543,0
544,1
545,1
546,1
547,1
548,0
549,0
550,1
551,1
552,0
553,1
554,1
555,0
556,0
557,0
558,1
559,1
560,1
561,1
562,0
563,0
564,1
565,1
566,0
567,0
568,1
569,1
570,0
571,0
572,0
573,0
574,1
575,1
576,1
577,0
578,0
579,0
580,1
581,0
582,0
583,0
584,0
585,0
586,1
587,1
588,1
589,0
590,0
591,1
592,1
593,0
594,1
595,1
596,1
597,1
598,0
599,1
600,0
601,0
602,1
603,0
604,0
605,0
606,0
607,0
608,1
609,1
610,0
611,1
612,1
613,0
614,0
615,0
616,0
617,0
618,0
619,1
620,0
621,0
622,0
623,0
624,1
625,1
626,0
627,0
628,0
629,0
630,1
631,1
632,0
633,1
634,0
635,1
636,0
637,1
638,1
639,0
640,1
641,0
642,1
643,1
644,1
645,1
646,1
647,1
648,1
649,1
650,1
651,0
652,0
653,1
654,1
655,0
656,0
657,1
658,0
659,1
660,1
661,0
662,1
663,0
664,0
665,1
666,1
667,0
668,0
669,1
670,0
671,1
672,1
673,1
674,1
675,1
676,0
677,1
678,1
679,1
680,1
681,1
682,1
683,0
684,1
685,1
686,0
687,1
688,1
689,1
690,1
691,1
692,0
693,1
694,0
695,1
696,0
697,0
698,0
699,0
700,0
701,1
702,0
703,1
704,0
705,0
706,0
707,0
708,0
709,1
710,0
711,1
712,1
713,0
714,0
715,0
716,1
717,0
718,1
719,0
720,1
721,0
722,1
723,1
724,0
725,0
726,0
727,0
728,0
729,0
730,1
731,0
732,1
733,0
734,0
735,0
736,0
737,0
738,1
739,0
740,1
741,0
742,0
743,0
744,1
745,0
746,0
747,0
748,1
749,0
750,1
751,1
752,0
753,1
754,0
755,1
756,1
757,0
758,1
759,0
760,1
761,1
762,0
763,1
764,0
765,1
766,0
767,1
768,1
769,0
770,0
771,0
772,1
773,1
774,0
775,0
776,0
777,1
778,1
779,1
780,0
781,1
782,0
783,0
784,1
785,1
786,0
787,1
788,1
789,0
790,1
791,0
792,1
793,0
794,1
795,0
796,1
797,0
798,0
799,1
800,0
801,0
802,1
803,1
804,1
805,0
806,1
807,1
808,0
809,1
810,0
811,1
812,0
813,1
814,0
815,1
816,0
817,1
818,0
819,1
820,0
821,1
822,1
823,1
824,0
825,0
826,0
827,0
828,1
829,1
830,0
831,1
832,1
833,0
834,1
835,1
836,0
837,0
838,1
839,1
840,0
841,0
842,0
843,0
844,1
845,0
846,0
847,1
848,1
849,1
850,1
851,0
852,0
853,0
854,1
855,0
856,0
857,0
858,0
859,0
860,1
861,0
862,0
863,1
864,1
865,0
866,1
867,0
868,0
869,0
870,1
871,1
872,0
873,1
874,0
875,1
876,0
877,0
878,0
879,1
880,1
881,1
882,1
883,1
884,1
885,0
886,0
887,1
888,1
889,0
890,1
891,0
892,1
893,1
894,1
895,0
896,0
897,0
898,1
899,0
900,1
901,0
902,0
903,1
904,1
905,1
906,0
907,0
908,1
909,0
910,0
911,1
912,1
913,0
914,0
915,1
916,0
917,1
918,0
919,1
920,1
921,0
922,0
923,0
924,1
925,0
926,1
927,1
928,0
929,0
930,0
931,1
932,1
933,0
934,0
935,1
936,1
937,1
938,1
939,1
940,1
941,1
942,0
943,0
944,1
945,0
946,0
947,0
948,1
949,1
950,1
951,0
952,0
953,1
954,0
955,1
956,1
957,0
958,1
959,1
960,0
961,0
962,1
963,0
964,0
965,1
966,0
967,1
968,1
969,1
970,1
971,1
972,1
973,1
974,1
975,0
976,1
977,0
978,0
979,1
980,1
981,1
982,0
983,1
984,1
985,1
986,0
987,0
988,1
989,1
990,0
991,0
992,1
993,1
994,1
995,0
996,0
997,1
998,0
999,0
1000,0
1001,1
1002,0
1003,0
1004,0
1005,1
1006,1
1007,1
1008,0
1009,0
1010,0
1011,1
1012,1
1013,1
1014,0
1015,1
1016,1
1017,1
1018,0
1019,0
1020,0
1021,1
1022,1
1023,0
1024,1
1025,0
1026,1
1027,1
1028,0
1029,1
1030,0
1031,0
1032,1
1033,1
1034,1
1035,0
1036,0
1037,0
1038,0
1039,0
1040,1
1041,1
1042,0
1043,0
1044,0
1045,0
1046,0
1047,1
1048,0
1049,0
1050,0
1051,1
1052,1
1053,0
1054,1
1055,0
1056,0
1057,0
1058,1
1059,0
1060,0
1061,1
1062,1
1063,0
1064,1
1065,1
1066,0
1067,0
1068,1
1069,0
1070,0
1071,0
1072,0
1073,1
1074,1
1075,0
1076,0
1077,0
1078,0
1079,0
1080,1
1081,1
1082,0
1083,0
1084,0
1085,1
1086,1
1087,0
1088,0
1089,0
1090,1
1091,1
1092,1
1093,1
1094,0
1095,1
1096,0
1097,0
1098,0
1099,0
1100,1
1101,1
1102,1
1103,1
1104,1
1105,0
1106,1
1107,1
1108,1
1109,1
1110,0
1111,0
1112,1
1113,0
1114,0
1115,1
1116,0
1117,1
1118,1
1119,0
1120,1
1121,0
1122,0
1123,0
1124,1
1125,0
1126,0
1127,0
1128,0
1129,0
1130,1
1131,0
1132,1
1133,1
1134,0
1135,1
1136,1
1137,0
1138,0
1139,1
1140,0
1141,0
1142,0
1143,0
1144,0
1145,1
1146,0
1147,0
1148,1
1149,0
1150,1
1151,1
1152,1
1153,0
1154,0
1155,1
1156,1
1157,0
1158,0
1159,0
1160,0
1161,0
1162,0
1163,1
1164,0
1165,1
1166,1
1167,0
1168,0
1169,1
1170,0
1171,1
1172,0
1173,1
1174,1
1175,1
1176,0
1177,0
1178,1
1179,0
1180,1
1181,0
1182,1
1183,1
1184,1
1185,1
1186,0
1187,1
1188,1
1189,1
1190,1
1191,1
1192,1
1193,1
1194,1
1195,1
1196,1
1197,0
1198,0
1199,0
1200,0
1201,0
1202,1
1203,0
1204,0
1205,0
1206,0
1207,1
1208,1
1209,1
1210,1
1211,1
1212,0
1213,1
1214,1
1215,0
1216,0
1217,0
1218,1
1219,1
1220,1
1221,1
1222,1
1223,1
1224,1
1225,1
1226,0
1227,1
1228,0
1229,1
